pitch_no,game_no,pa_of_inning,pitch_of_pa,batter_side,pitcher_throws,outs,balls,strikes,k_or_bb,hit_type,play_result,pitch_call,tagged_pitch_type,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,exit_speed,angle,direction,distance,bearing
904,11,1,2,Right,Right,0,0,1,Undefined,Undefined,Undefined,BallCalled,Slider,86.20601474,2147.246519,11:00,5.756670924,2.449445769,6.050772425,-34.93197576,2.416464924,-1.461802613,1.38E+00,-1.890367204,8.51E-05,NULL,NULL,NULL,NULL,NULL
905,11,1,3,Right,Right,0,1,1,Undefined,Undefined,Undefined,FoulBall,Slider,86.48890726,2284.463527,11:00,5.759722912,2.684870668,6.071488064,-31.07789874,5.765748551,-3.865080585,2.670608601,-0.721798613,0.895416081,70.25508353,56.0952515,135.1245892,180.6698571,149.4651991
906,11,1,4,Right,Right,0,1,2,Strikeout,Undefined,Undefined,StrikeSwinging,Slider,85.21545572,2301.814394,9:30,5.77477123,2.646242684,6.170637475,-36.71018778,1.386598813,-4.238146083,1.282179095,-0.560948167,0.014657517,NULL,NULL,NULL,NULL,NULL
907,11,2,1,Left,Right,1,0,0,Undefined,Undefined,Undefined,BallCalled,Fastball,94.33356272,2279.844194,1:15,5.762235127,2.78227654,6.075795726,-14.4528144,16.68757738,13.64119224,3.448102734,0.306857708,0.22565645,NULL,NULL,NULL,NULL,NULL
908,11,2,2,Left,Right,1,1,0,Undefined,GroundBall,Out,InPlay,Fastball,93.77604904,2273.979454,1:15,5.685893456,2.669872668,6.330253356,-15.92514313,15.04108028,11.51333462,2.038222029,-0.32201001,0.990572989,92.76431479,-33.43088312,0.937965546,3.32016801,7.270961932
909,11,3,1,Right,Right,2,0,0,Undefined,Undefined,Undefined,StrikeSwinging,Slider,86.49187917,2265.330537,10:00,5.796091992,2.582002338,6.296425684,-34.28893,2.15392739,-3.688538108,2.06343328,-0.744957478,0.934562206,NULL,NULL,NULL,NULL,NULL
910,11,3,2,Right,Right,2,0,1,Undefined,Undefined,Undefined,FoulBall,Fastball,93.09713445,2200.218238,1:00,5.868184747,2.631382431,6.518587579,-15.85555572,15.39885003,8.278268205,2.647148671,0.476759771,0.981942713,66.91861535,36.10354667,147.146241,184.8620317,158.9792535
911,11,3,3,Right,Right,2,0,2,Undefined,Undefined,Undefined,BallCalled,Curveball,84.0390255,2369.039209,7:00,5.699581103,2.565488317,6.171787595,-43.53746496,-3.994788773,-2.633103083,0.857901268,-0.553357628,0.000122039,NULL,NULL,NULL,NULL,NULL
912,11,3,4,Right,Right,2,1,2,Strikeout,Undefined,Undefined,StrikeSwinging,ChangeUp,83.50167118,1664.984106,2:15,5.773307729,2.539175629,6.46619543,-31.33719245,7.402649002,16.55700346,1.683892078,-0.320041756,0.675143123,NULL,NULL,NULL,NULL,NULL
913,11,1,1,Left,Right,0,0,0,Undefined,Undefined,Undefined,BallCalled,Curveball,78.72658068,2266.494165,7:15,5.763358038,2.723236181,6.068561876,-54.46920621,-10.09010824,-8.03E+00,3.160862745,0.738631154,0.831127763,NULL,NULL,NULL,NULL,NULL
